00:18:42.822 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Preparing to destroy PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@6bf0d425
00:18:42.822 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Removing expired resource: com.mchange.v2.c3p0.impl.NewPooledConnection@24eced4a [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.823 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - EXPIRED idle resource: com.mchange.v2.c3p0.impl.NewPooledConnection@41df0327 ---> idle_time: 2249416; max_idle_time: 1800000 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.823 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Removing expired resource: com.mchange.v2.c3p0.impl.NewPooledConnection@41df0327 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.823 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - EXPIRED idle resource: com.mchange.v2.c3p0.impl.NewPooledConnection@42902554 ---> idle_time: 2249424; max_idle_time: 1800000 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.823 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Removing expired resource: com.mchange.v2.c3p0.impl.NewPooledConnection@42902554 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.823 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - EXPIRED idle resource: com.mchange.v2.c3p0.impl.NewPooledConnection@473321fa ---> idle_time: 2249443; max_idle_time: 1800000 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.823 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Removing expired resource: com.mchange.v2.c3p0.impl.NewPooledConnection@473321fa [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.824 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Preparing to destroy resource: com.mchange.v2.c3p0.impl.NewPooledConnection@24eced4a
00:18:42.824 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - EXPIRED idle resource: com.mchange.v2.c3p0.impl.NewPooledConnection@5340116d ---> idle_time: 2249450; max_idle_time: 1800000 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
